target,location,truth_date,year_week,value
hospital admissions,AT,2021-09-05,2021-W35,242
hospital admissions,AT,2021-08-29,2021-W34,219
hospital admissions,AT,2021-08-22,2021-W33,165
hospital admissions,AT,2021-08-15,2021-W32,125
hospital admissions,AT,2021-08-08,2021-W31,74
hospital admissions,AT,2021-08-01,2021-W30,43
hospital admissions,AT,2021-07-25,2021-W29,41
hospital admissions,AT,2021-07-18,2021-W28,37
hospital admissions,AT,2021-07-11,2021-W27,23
hospital admissions,AT,2021-07-04,2021-W26,25
hospital admissions,AT,2021-06-27,2021-W25,34
hospital admissions,AT,2021-06-20,2021-W24,36
hospital admissions,AT,2021-06-13,2021-W23,57
hospital admissions,AT,2021-06-06,2021-W22,71
hospital admissions,AT,2021-05-30,2021-W21,78
hospital admissions,AT,2021-05-23,2021-W20,115
hospital admissions,AT,2021-05-16,2021-W19,184
hospital admissions,AT,2021-05-09,2021-W18,260
hospital admissions,AT,2021-05-02,2021-W17,346
hospital admissions,AT,2021-04-25,2021-W16,441
hospital admissions,AT,2021-04-18,2021-W15,578
hospital admissions,AT,2021-04-11,2021-W14,611
hospital admissions,AT,2021-04-04,2021-W13,671
hospital admissions,AT,2021-03-28,2021-W12,681
hospital admissions,AT,2021-03-21,2021-W11,698
hospital admissions,AT,2021-03-14,2021-W10,615
hospital admissions,AT,2021-03-07,2021-W09,531
hospital admissions,AT,2021-02-28,2021-W08,440
hospital admissions,AT,2021-02-21,2021-W07,409
hospital admissions,AT,2021-02-14,2021-W06,396
hospital admissions,AT,2021-02-07,2021-W05,442
hospital admissions,AT,2021-01-31,2021-W04,538
hospital admissions,AT,2021-01-24,2021-W03,559
hospital admissions,AT,2021-01-17,2021-W02,606
hospital admissions,AT,2021-01-10,2021-W01,702
hospital admissions,AT,2021-01-03,2020-W53,693
hospital admissions,AT,2020-12-27,2020-W52,670
hospital admissions,AT,2020-12-20,2020-W51,776
hospital admissions,AT,2020-12-13,2020-W50,1051
hospital admissions,AT,2020-12-06,2020-W49,1170
hospital admissions,AT,2020-11-29,2020-W48,1254
hospital admissions,AT,2020-11-22,2020-W47,1432
hospital admissions,AT,2020-11-15,2020-W46,1452
hospital admissions,AT,2020-11-08,2020-W45,1207
hospital admissions,AT,2020-11-01,2020-W44,761
hospital admissions,AT,2020-10-25,2020-W43,537
hospital admissions,AT,2020-10-18,2020-W42,310
hospital admissions,AT,2020-10-11,2020-W41,211
hospital admissions,AT,2020-10-04,2020-W40,149
hospital admissions,AT,2020-09-27,2020-W39,133
hospital admissions,AT,2020-09-20,2020-W38,111
hospital admissions,AT,2020-09-13,2020-W37,95
hospital admissions,AT,2020-09-06,2020-W36,47
hospital admissions,AT,2020-08-30,2020-W35,42
hospital admissions,AT,2020-08-23,2020-W34,50
hospital admissions,AT,2020-08-16,2020-W33,49
hospital admissions,AT,2020-08-09,2020-W32,41
hospital admissions,AT,2020-08-02,2020-W31,30
hospital admissions,AT,2020-07-26,2020-W30,35
hospital admissions,AT,2020-07-19,2020-W29,48
hospital admissions,AT,2020-07-12,2020-W28,42
hospital admissions,AT,2020-07-05,2020-W27,37
hospital admissions,AT,2020-06-28,2020-W26,20
hospital admissions,AT,2020-06-21,2020-W25,18
hospital admissions,BE,2023-07-02,2023-W26,116
hospital admissions,BE,2023-06-25,2023-W25,139
hospital admissions,BE,2023-06-18,2023-W24,211
hospital admissions,BE,2023-06-11,2023-W23,238
hospital admissions,BE,2023-06-04,2023-W22,306
hospital admissions,BE,2023-05-28,2023-W21,394
hospital admissions,BE,2023-05-21,2023-W20,549
hospital admissions,BE,2023-05-14,2023-W19,655
hospital admissions,BE,2023-05-07,2023-W18,830
hospital admissions,BE,2023-04-30,2023-W17,960
hospital admissions,BE,2023-04-23,2023-W16,1184
hospital admissions,BE,2023-04-16,2023-W15,1349
hospital admissions,BE,2023-04-09,2023-W14,1507
hospital admissions,BE,2023-04-02,2023-W13,1954
hospital admissions,BE,2023-03-26,2023-W12,2237
hospital admissions,BE,2023-03-19,2023-W11,2347
hospital admissions,BE,2023-03-12,2023-W10,1981
hospital admissions,BE,2023-03-05,2023-W09,1735
hospital admissions,BE,2023-02-26,2023-W08,1540
hospital admissions,BE,2023-02-19,2023-W07,1215
hospital admissions,BE,2023-02-12,2023-W06,950
hospital admissions,BE,2023-02-05,2023-W05,808
hospital admissions,BE,2023-01-29,2023-W04,663
hospital admissions,BE,2023-01-22,2023-W03,857
hospital admissions,BE,2023-01-15,2023-W02,1086
hospital admissions,BE,2023-01-08,2023-W01,1594
hospital admissions,BE,2023-01-01,2022-W52,799
hospital admissions,BE,2022-12-25,2022-W51,932
hospital admissions,BE,2022-12-18,2022-W50,890
hospital admissions,BE,2022-12-11,2022-W49,666
hospital admissions,BE,2022-12-04,2022-W48,533
hospital admissions,BE,2022-11-27,2022-W47,416
hospital admissions,BE,2022-11-20,2022-W46,330
hospital admissions,BE,2022-11-13,2022-W45,363
hospital admissions,BE,2022-11-06,2022-W44,344
hospital admissions,BE,2022-10-30,2022-W43,512
hospital admissions,BE,2022-10-23,2022-W42,747
hospital admissions,BE,2022-10-16,2022-W41,742
hospital admissions,BE,2022-10-09,2022-W40,772
hospital admissions,BE,2022-10-02,2022-W39,651
hospital admissions,BE,2022-09-25,2022-W38,487
hospital admissions,BE,2022-09-18,2022-W37,382
hospital admissions,BE,2022-09-11,2022-W36,394
hospital admissions,BE,2022-09-04,2022-W35,414
hospital admissions,BE,2022-08-28,2022-W34,462
hospital admissions,BE,2022-08-21,2022-W33,556
hospital admissions,BE,2022-08-14,2022-W32,660
hospital admissions,BE,2022-08-07,2022-W31,796
hospital admissions,BE,2022-07-31,2022-W30,933
hospital admissions,BE,2022-07-24,2022-W29,1099
hospital admissions,BE,2022-07-17,2022-W28,1172
hospital admissions,BE,2022-07-10,2022-W27,1010
hospital admissions,BE,2022-07-03,2022-W26,838
hospital admissions,BE,2022-06-26,2022-W25,700
hospital admissions,BE,2022-06-19,2022-W24,512
hospital admissions,BE,2022-06-12,2022-W23,415
hospital admissions,BE,2022-06-05,2022-W22,362
hospital admissions,BE,2022-05-29,2022-W21,446
hospital admissions,BE,2022-05-22,2022-W20,568
hospital admissions,BE,2022-05-15,2022-W19,734
hospital admissions,BE,2022-05-08,2022-W18,899
hospital admissions,BE,2022-05-01,2022-W17,988
hospital admissions,BE,2022-04-24,2022-W16,1253
hospital admissions,BE,2022-04-17,2022-W15,1528
hospital admissions,BE,2022-04-10,2022-W14,1512
hospital admissions,BE,2022-04-03,2022-W13,1535
hospital admissions,BE,2022-03-27,2022-W12,1418
hospital admissions,BE,2022-03-20,2022-W11,1226
hospital admissions,BE,2022-03-13,2022-W10,1024
hospital admissions,BE,2022-03-06,2022-W09,985
hospital admissions,BE,2022-02-27,2022-W08,1051
hospital admissions,BE,2022-02-20,2022-W07,1468
hospital admissions,BE,2022-02-13,2022-W06,1958
hospital admissions,BE,2022-02-06,2022-W05,2444
hospital admissions,BE,2022-01-30,2022-W04,2523
hospital admissions,BE,2022-01-23,2022-W03,2068
hospital admissions,BE,2022-01-16,2022-W02,1400
hospital admissions,BE,2022-01-09,2022-W01,1285
hospital admissions,BE,2022-01-02,2021-W52,1037
hospital admissions,BE,2021-12-26,2021-W51,996
hospital admissions,BE,2021-12-19,2021-W50,1375
hospital admissions,BE,2021-12-12,2021-W49,1908
hospital admissions,BE,2021-12-05,2021-W48,2174
hospital admissions,BE,2021-11-28,2021-W47,2197
hospital admissions,BE,2021-11-21,2021-W46,1967
hospital admissions,BE,2021-11-14,2021-W45,1622
hospital admissions,BE,2021-11-07,2021-W44,1242
hospital admissions,BE,2021-10-31,2021-W43,1072
hospital admissions,BE,2021-10-24,2021-W42,774
hospital admissions,BE,2021-10-17,2021-W41,485
hospital admissions,BE,2021-10-10,2021-W40,391
hospital admissions,BE,2021-10-03,2021-W39,426
hospital admissions,BE,2021-09-26,2021-W38,355
hospital admissions,BE,2021-09-19,2021-W37,430
hospital admissions,BE,2021-09-12,2021-W36,426
hospital admissions,BE,2021-09-05,2021-W35,483
hospital admissions,BE,2021-08-29,2021-W34,421
hospital admissions,BE,2021-08-22,2021-W33,412
hospital admissions,BE,2021-08-15,2021-W32,384
hospital admissions,BE,2021-08-08,2021-W31,303
hospital admissions,BE,2021-08-01,2021-W30,251
hospital admissions,BE,2021-07-25,2021-W29,201
hospital admissions,BE,2021-07-18,2021-W28,169
hospital admissions,BE,2021-07-11,2021-W27,118
hospital admissions,BE,2021-07-04,2021-W26,109
hospital admissions,BE,2021-06-27,2021-W25,161
hospital admissions,BE,2021-06-20,2021-W24,235
hospital admissions,BE,2021-06-13,2021-W23,345
hospital admissions,BE,2021-06-06,2021-W22,500
hospital admissions,BE,2021-05-30,2021-W21,611
hospital admissions,BE,2021-05-23,2021-W20,830
hospital admissions,BE,2021-05-16,2021-W19,967
hospital admissions,BE,2021-05-09,2021-W18,1139
hospital admissions,BE,2021-05-02,2021-W17,1350
hospital admissions,BE,2021-04-25,2021-W16,1600
hospital admissions,BE,2021-04-18,2021-W15,1643
hospital admissions,BE,2021-04-11,2021-W14,1780
hospital admissions,BE,2021-04-04,2021-W13,1843
hospital admissions,BE,2021-03-28,2021-W12,1693
hospital admissions,BE,2021-03-21,2021-W11,1383
hospital admissions,BE,2021-03-14,2021-W10,1132
hospital admissions,BE,2021-03-07,2021-W09,1021
hospital admissions,BE,2021-02-28,2021-W08,1049
hospital admissions,BE,2021-02-21,2021-W07,837
hospital admissions,BE,2021-02-14,2021-W06,834
hospital admissions,BE,2021-02-07,2021-W05,928
hospital admissions,BE,2021-01-31,2021-W04,837
hospital admissions,BE,2021-01-24,2021-W03,991
hospital admissions,BE,2021-01-17,2021-W02,840
hospital admissions,BE,2021-01-10,2021-W01,923
hospital admissions,BE,2021-01-03,2020-W53,662
hospital admissions,BE,2020-12-27,2020-W52,1163
hospital admissions,BE,2020-12-20,2020-W51,1291
hospital admissions,BE,2020-12-13,2020-W50,1310
hospital admissions,BE,2020-12-06,2020-W49,1361
hospital admissions,BE,2020-11-29,2020-W48,1666
hospital admissions,BE,2020-11-22,2020-W47,2185
hospital admissions,BE,2020-11-15,2020-W46,3332
hospital admissions,BE,2020-11-08,2020-W45,4300
hospital admissions,BE,2020-11-01,2020-W44,4732
hospital admissions,BE,2020-10-25,2020-W43,3415
hospital admissions,BE,2020-10-18,2020-W42,1849
hospital admissions,BE,2020-10-11,2020-W41,937
hospital admissions,BE,2020-10-04,2020-W40,589
hospital admissions,BE,2020-09-27,2020-W39,483
hospital admissions,BE,2020-09-20,2020-W38,345
hospital admissions,BE,2020-09-13,2020-W37,228
hospital admissions,BE,2020-09-06,2020-W36,140
hospital admissions,BE,2020-08-30,2020-W35,112
hospital admissions,BE,2020-08-23,2020-W34,200
hospital admissions,BE,2020-08-16,2020-W33,279
hospital admissions,BE,2020-08-09,2020-W32,226
hospital admissions,BE,2020-08-02,2020-W31,211
hospital admissions,BE,2020-07-26,2020-W30,153
hospital admissions,BE,2020-07-19,2020-W29,107
hospital admissions,BE,2020-07-12,2020-W28,71
hospital admissions,BE,2020-07-05,2020-W27,82
hospital admissions,BE,2020-06-28,2020-W26,104
hospital admissions,BE,2020-06-21,2020-W25,130
hospital admissions,BG,2021-12-26,2021-W51,1
hospital admissions,BG,2021-12-19,2021-W50,2
hospital admissions,CY,2024-12-01,2024-W48,18
hospital admissions,CY,2024-11-24,2024-W47,21
hospital admissions,CY,2024-11-17,2024-W46,16
hospital admissions,CY,2024-11-10,2024-W45,25
hospital admissions,CY,2024-11-03,2024-W44,28
hospital admissions,CY,2024-10-27,2024-W43,21
hospital admissions,CY,2024-10-20,2024-W42,19
hospital admissions,CY,2024-10-13,2024-W41,19
hospital admissions,CY,2024-10-06,2024-W40,21
hospital admissions,CY,2024-09-29,2024-W39,25
hospital admissions,CY,2024-09-22,2024-W38,16
hospital admissions,CY,2024-09-15,2024-W37,22
hospital admissions,CY,2024-09-08,2024-W36,29
hospital admissions,CY,2024-09-01,2024-W35,40
hospital admissions,CY,2024-08-25,2024-W34,35
hospital admissions,CY,2024-08-18,2024-W33,51
hospital admissions,CY,2024-08-11,2024-W32,54
hospital admissions,CY,2024-08-04,2024-W31,49
hospital admissions,CY,2024-07-28,2024-W30,72
hospital admissions,CY,2024-07-21,2024-W29,64
hospital admissions,CY,2024-07-14,2024-W28,79
hospital admissions,CY,2024-07-07,2024-W27,67
hospital admissions,CY,2024-06-30,2024-W26,58
hospital admissions,CY,2024-06-23,2024-W25,34
hospital admissions,CY,2024-06-16,2024-W24,22
hospital admissions,CY,2024-06-09,2024-W23,16
hospital admissions,CY,2024-06-02,2024-W22,13
hospital admissions,CY,2024-05-26,2024-W21,8
hospital admissions,CY,2024-05-19,2024-W20,6
hospital admissions,CY,2024-05-12,2024-W19,6
hospital admissions,CY,2024-05-05,2024-W18,7
hospital admissions,CY,2024-04-28,2024-W17,3
hospital admissions,CY,2024-04-21,2024-W16,2
hospital admissions,CY,2024-04-14,2024-W15,4
hospital admissions,CY,2024-04-07,2024-W14,6
hospital admissions,CY,2024-03-31,2024-W13,11
hospital admissions,CY,2024-03-24,2024-W12,7
hospital admissions,CY,2024-03-17,2024-W11,8
hospital admissions,CY,2024-03-10,2024-W10,6
hospital admissions,CY,2024-03-03,2024-W09,16
hospital admissions,CY,2024-02-25,2024-W08,13
hospital admissions,CY,2024-02-18,2024-W07,15
hospital admissions,CY,2024-02-11,2024-W06,25
hospital admissions,CY,2024-02-04,2024-W05,21
hospital admissions,CY,2024-01-28,2024-W04,46
hospital admissions,CY,2024-01-21,2024-W03,54
hospital admissions,CY,2024-01-14,2024-W02,109
hospital admissions,CY,2024-01-07,2024-W01,109
hospital admissions,CY,2023-12-31,2023-W52,111
hospital admissions,CY,2023-12-24,2023-W51,77
hospital admissions,CY,2023-12-17,2023-W50,60
hospital admissions,CY,2023-12-10,2023-W49,54
hospital admissions,CY,2023-12-03,2023-W48,36
hospital admissions,CY,2023-11-26,2023-W47,16
hospital admissions,CY,2023-11-19,2023-W46,24
hospital admissions,CY,2023-11-12,2023-W45,28
hospital admissions,CY,2023-11-05,2023-W44,27
hospital admissions,CY,2023-10-29,2023-W43,38
hospital admissions,CY,2023-10-22,2023-W42,28
hospital admissions,CY,2023-10-15,2023-W41,51
hospital admissions,CY,2023-10-08,2023-W40,47
hospital admissions,CY,2023-10-01,2023-W39,54
hospital admissions,CY,2023-09-24,2023-W38,45
hospital admissions,CY,2023-09-17,2023-W37,37
hospital admissions,CY,2023-09-10,2023-W36,31
hospital admissions,CY,2023-09-03,2023-W35,35
hospital admissions,CY,2023-08-27,2023-W34,47
hospital admissions,CY,2023-08-20,2023-W33,59
hospital admissions,CY,2023-08-13,2023-W32,31
hospital admissions,CY,2023-08-06,2023-W31,38
hospital admissions,CY,2023-07-30,2023-W30,45
hospital admissions,CY,2023-07-23,2023-W29,30
hospital admissions,CY,2023-07-16,2023-W28,16
hospital admissions,CY,2023-07-09,2023-W27,9
hospital admissions,CY,2023-07-02,2023-W26,8
hospital admissions,CY,2023-06-25,2023-W25,10
hospital admissions,CY,2023-06-18,2023-W24,16
hospital admissions,CY,2023-06-11,2023-W23,18
hospital admissions,CY,2023-06-04,2023-W22,36
hospital admissions,CY,2023-05-28,2023-W21,30
hospital admissions,CY,2023-05-21,2023-W20,51
hospital admissions,CY,2023-05-14,2023-W19,46
hospital admissions,CY,2023-05-07,2023-W18,30
hospital admissions,CY,2023-04-30,2023-W17,34
hospital admissions,CY,2023-04-23,2023-W16,51
hospital admissions,CY,2023-04-16,2023-W15,33
hospital admissions,CY,2023-04-09,2023-W14,41
hospital admissions,CY,2023-04-02,2023-W13,37
hospital admissions,CY,2023-03-26,2023-W12,31
hospital admissions,CY,2023-03-19,2023-W11,31
hospital admissions,CY,2023-03-12,2023-W10,35
hospital admissions,CY,2023-03-05,2023-W09,39
hospital admissions,CY,2023-02-26,2023-W08,8
hospital admissions,CY,2023-02-19,2023-W07,3
hospital admissions,CY,2023-02-12,2023-W06,7
hospital admissions,CY,2023-02-05,2023-W05,18
hospital admissions,CY,2023-01-29,2023-W04,31
hospital admissions,CY,2023-01-22,2023-W03,48
hospital admissions,CY,2023-01-15,2023-W02,85
hospital admissions,CY,2023-01-08,2023-W01,70
hospital admissions,CY,2023-01-01,2022-W52,51
hospital admissions,CY,2022-12-25,2022-W51,63
hospital admissions,CY,2022-12-18,2022-W50,61
hospital admissions,CY,2022-12-11,2022-W49,69
hospital admissions,CY,2022-12-04,2022-W48,72
hospital admissions,CY,2022-11-27,2022-W47,63
hospital admissions,CY,2022-11-20,2022-W46,70
hospital admissions,CY,2022-11-13,2022-W45,52
hospital admissions,CY,2022-11-06,2022-W44,68
hospital admissions,CY,2022-10-30,2022-W43,59
hospital admissions,CY,2022-10-23,2022-W42,46
hospital admissions,CY,2022-10-16,2022-W41,53
hospital admissions,CY,2022-10-09,2022-W40,38
hospital admissions,CY,2022-10-02,2022-W39,38
hospital admissions,CY,2022-09-25,2022-W38,48
hospital admissions,CY,2022-09-18,2022-W37,47
hospital admissions,CY,2022-09-11,2022-W36,33
hospital admissions,CY,2022-09-04,2022-W35,32
hospital admissions,CY,2022-08-28,2022-W34,38
hospital admissions,CY,2022-08-21,2022-W33,58
hospital admissions,CY,2022-08-14,2022-W32,42
hospital admissions,CY,2022-08-07,2022-W31,69
hospital admissions,CY,2022-07-31,2022-W30,65
hospital admissions,CY,2022-07-24,2022-W29,100
hospital admissions,CY,2022-07-17,2022-W28,115
hospital admissions,CY,2022-07-10,2022-W27,130
hospital admissions,CY,2022-07-03,2022-W26,107
hospital admissions,CY,2022-06-26,2022-W25,74
hospital admissions,CY,2022-06-19,2022-W24,48
hospital admissions,CY,2022-06-12,2022-W23,20
hospital admissions,CY,2022-06-05,2022-W22,32
hospital admissions,CY,2022-05-29,2022-W21,25
hospital admissions,CY,2022-05-22,2022-W20,29
hospital admissions,CY,2022-05-15,2022-W19,30
hospital admissions,CY,2022-05-08,2022-W18,33
hospital admissions,CY,2022-05-01,2022-W17,53
hospital admissions,CY,2022-04-24,2022-W16,49
hospital admissions,CY,2022-04-17,2022-W15,76
hospital admissions,CY,2022-04-10,2022-W14,164
hospital admissions,CY,2022-04-03,2022-W13,192
hospital admissions,CY,2022-03-27,2022-W12,195
hospital admissions,CY,2022-03-20,2022-W11,156
hospital admissions,CY,2022-03-13,2022-W10,95
hospital admissions,CY,2022-03-06,2022-W09,101
hospital admissions,CY,2022-02-27,2022-W08,120
hospital admissions,CY,2022-02-20,2022-W07,136
hospital admissions,CY,2022-02-13,2022-W06,155
hospital admissions,CY,2022-02-06,2022-W05,165
hospital admissions,CY,2022-01-30,2022-W04,161
hospital admissions,CY,2022-01-23,2022-W03,158
hospital admissions,CY,2022-01-16,2022-W02,188
hospital admissions,CY,2022-01-09,2022-W01,216
hospital admissions,CY,2022-01-02,2021-W52,153
hospital admissions,CY,2021-12-26,2021-W51,108
hospital admissions,CY,2021-12-19,2021-W50,127
hospital admissions,CY,2021-12-12,2021-W49,111
hospital admissions,CY,2021-12-05,2021-W48,82
hospital admissions,CY,2021-11-28,2021-W47,72
hospital admissions,CY,2021-11-21,2021-W46,68
hospital admissions,CY,2021-11-14,2021-W45,59
hospital admissions,CY,2021-11-07,2021-W44,40
hospital admissions,CY,2021-10-31,2021-W43,43
hospital admissions,CY,2021-10-24,2021-W42,33
hospital admissions,CY,2021-10-17,2021-W41,37
hospital admissions,CY,2021-10-10,2021-W40,29
hospital admissions,CY,2021-10-03,2021-W39,31
hospital admissions,CY,2021-09-26,2021-W38,40
hospital admissions,CY,2021-09-19,2021-W37,54
hospital admissions,CY,2021-09-12,2021-W36,77
hospital admissions,CY,2021-09-05,2021-W35,92
hospital admissions,CY,2021-08-29,2021-W34,92
hospital admissions,CY,2021-08-22,2021-W33,123
hospital admissions,CY,2021-08-15,2021-W32,149
hospital admissions,CY,2021-08-08,2021-W31,203
hospital admissions,CY,2021-08-01,2021-W30,226
hospital admissions,CY,2021-07-25,2021-W29,243
hospital admissions,CY,2021-07-18,2021-W28,194
hospital admissions,CY,2021-07-11,2021-W27,140
hospital admissions,CY,2021-07-04,2021-W26,75
hospital admissions,CY,2021-06-27,2021-W25,33
hospital admissions,CY,2021-06-20,2021-W24,35
hospital admissions,CY,2021-06-13,2021-W23,20
hospital admissions,CY,2021-06-06,2021-W22,22
hospital admissions,CY,2021-05-30,2021-W21,39
hospital admissions,CY,2021-05-23,2021-W20,67
hospital admissions,CY,2021-05-16,2021-W19,110
hospital admissions,CY,2021-05-09,2021-W18,180
hospital admissions,CY,2021-05-02,2021-W17,224
hospital admissions,CY,2021-04-25,2021-W16,255
hospital admissions,CY,2021-04-18,2021-W15,205
hospital admissions,CY,2021-04-11,2021-W14,178
hospital admissions,CY,2021-04-04,2021-W13,167
hospital admissions,CY,2021-03-28,2021-W12,138
hospital admissions,CY,2021-03-21,2021-W11,162
hospital admissions,CY,2021-03-14,2021-W10,174
hospital admissions,CY,2021-03-07,2021-W09,105
hospital admissions,CY,2021-02-28,2021-W08,57
hospital admissions,CY,2021-02-21,2021-W07,67
hospital admissions,CY,2021-02-14,2021-W06,57
hospital admissions,CY,2021-02-07,2021-W05,70
hospital admissions,CY,2021-01-31,2021-W04,70
hospital admissions,CY,2021-01-24,2021-W03,93
hospital admissions,CY,2021-01-17,2021-W02,121
hospital admissions,CY,2021-01-10,2021-W01,141
hospital admissions,CY,2021-01-03,2020-W53,127
hospital admissions,CY,2020-12-27,2020-W52,107
hospital admissions,CY,2020-12-20,2020-W51,96
hospital admissions,CY,2020-12-13,2020-W50,75
hospital admissions,CY,2020-12-06,2020-W49,74
hospital admissions,CY,2020-11-29,2020-W48,82
hospital admissions,CY,2020-11-22,2020-W47,73
hospital admissions,CY,2020-11-15,2020-W46,59
hospital admissions,CY,2020-11-08,2020-W45,67
hospital admissions,CY,2020-11-01,2020-W44,36
hospital admissions,CY,2020-10-25,2020-W43,32
hospital admissions,CY,2020-10-18,2020-W42,29
hospital admissions,CY,2020-10-11,2020-W41,5
hospital admissions,CY,2020-10-04,2020-W40,4
hospital admissions,CY,2020-09-27,2020-W39,15
hospital admissions,CY,2020-09-20,2020-W38,6
hospital admissions,CY,2020-09-13,2020-W37,2
hospital admissions,CY,2020-09-06,2020-W36,1
hospital admissions,CY,2020-08-30,2020-W35,6
hospital admissions,CY,2020-08-23,2020-W34,3
hospital admissions,CY,2020-08-16,2020-W33,2
hospital admissions,CY,2020-08-09,2020-W32,4
hospital admissions,CY,2020-08-02,2020-W31,8
hospital admissions,CY,2020-07-26,2020-W30,1
hospital admissions,CY,2020-07-19,2020-W29,1
hospital admissions,CY,2020-06-28,2020-W26,2
hospital admissions,CY,2020-06-21,2020-W25,1
hospital admissions,CZ,2025-04-06,2025-W14,4
hospital admissions,CZ,2025-03-30,2025-W13,4
hospital admissions,CZ,2025-03-23,2025-W12,5
hospital admissions,CZ,2025-03-16,2025-W11,8
hospital admissions,CZ,2025-03-09,2025-W10,9
hospital admissions,CZ,2025-03-02,2025-W09,20
